@relation 'city_day_new-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-2,5,7-8,12-14,16'

@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
33.02,?,28.91,11.69,1.38,36.04,?
27.29,?,28.12,9.81,1.61,39.26,272
41.43,?,31.82,10.45,1.7,28.05,253
30.16,?,15.99,10.41,1.6,23.76,256
29.42,?,10.11,9.39,1.57,16.42,257
20.87,?,7.49,9.04,1.6,14.27,213
35.08,?,6.52,8.36,1.63,19.44,218
40.23,?,2.79,8.68,1.69,15.16,214
54.25,?,2.78,8.11,1.42,18.46,207
49.04,?,1.65,7.38,1.44,15.33,169
35.87,?,1.67,7.5,1.53,17,?
46.3,?,1.8,7.3,1.8,24,?
39.15,?,1.9,7.05,1.4,15,?
45.3,?,2.5,6.7,0.9,27,?
43.61,?,3.93,7.7,1.32,21.64,?
?,?,?,?,?,?,?
34.89,?,11.73,24.46,14.6,82.14,?
38.13,?,48.06,46.51,23.13,?,1842
36.47,?,37.13,0.98,19.01,?,72
40.9,?,36.77,4.09,17.01,?,91
34.19,?,34.38,6.02,14.17,?,124
32.92,?,36.8,4.92,14.66,?,145
41.39,?,54.7,100.77,15.75,?,499
31.71,?,22.75,1.67,15.47,?,557
33.48,?,30.88,1.94,14.26,?,114
30.8,?,25.15,2.57,17.02,?,148
30.47,?,38.78,1.64,15.8,?,99
34.64,?,39.23,6.67,15.07,?,117
43.71,?,39.95,8.85,15.37,?,275
46.52,?,33.24,3.87,15,6.9,183
36.54,?,20.32,18.76,16.78,11.46,336
36.87,?,23.28,26.51,13.74,4.91,468
46.19,?,29.66,86.72,14.31,4.77,776
48.44,?,30.66,84.21,15.67,4.26,805
40.18,?,28.27,72.58,14.63,4.33,705
33.5,?,30.42,79.53,14.95,4.81,740
29.36,?,29.75,83.72,15.31,3.68,751
44.59,?,29.34,89.85,14.18,4.91,798
50.65,?,13,10.63,13.06,6.21,494
33.93,?,13.41,5.06,19.54,6.16,234
?,?,?,?,?,?,?
43.9,?,28.09,2.77,15.37,0.61,?
93.34,?,27.88,9.72,13.18,1.4,327
38.06,?,22.63,6.96,14.75,3.47,257
